2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-980] INFO  com.netflix.discovery.DiscoveryClient 980 fetchRegistry - Registered Applications size is zero : true
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-982] INFO  com.netflix.discovery.DiscoveryClient 982 fetchRegistry - Application version is -1: false
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-1065] INFO  com.netflix.discovery.DiscoveryClient 1065 getAndStoreFullRegistry - Getting all instance registry info from the eureka server
2019-10-23 22:55:12.368 [DiscoveryClient-CacheRefreshExecutor-0-1074] INFO  com.netflix.discovery.DiscoveryClient 1074 getAndStoreFullRegistry - The response status is 200
2019-10-23 22:57:12.378 [http-nio-8881-exec-3-31] INFO  com.example.web.HelloController 31 index - /hello, host:DESKTOP-BHHBH67, service_id:HELLO-SERVER
2019-10-23 22:57:50.272 [main-330] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ee2cc8f2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-23 22:57:50.622 [main-652] INFO  com.example.HelloApplication 652 logStartupProfileInfo - The following profiles are active: dev
2019-10-23 22:57:51.212 [main-131] WARN  org.springframework.boot.actuate.endpoint.EndpointId 131 logWarning - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-10-23 22:57:51.362 [main-295] INFO  org.springframework.cloud.context.scope.GenericScope 295 setSerializationId - BeanFactory id=58550074-2be2-3edc-921a-bb5da722c6b4
2019-10-23 22:57:51.432 [main-330] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ee2cc8f2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-23 22:57:51.652 [main-90] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8881 (http)
2019-10-23 22:57:51.752 [main-173] INFO  org.apache.coyote.http11.Http11NioProtocol 173 log - Initializing ProtocolHandler ["http-nio-8881"]
2019-10-23 22:57:51.752 [main-173] INFO  org.apache.catalina.core.StandardService 173 log - Starting service [Tomcat]
2019-10-23 22:57:51.762 [main-173] INFO  org.apache.catalina.core.StandardEngine 173 log - Starting Servlet engine: [Apache Tomcat/9.0.26]
2019-10-23 22:57:51.872 [main-173] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 log - Initializing Spring embedded WebApplicationContext
2019-10-23 22:57:51.872 [main-284] INFO  org.springframework.web.context.ContextLoader 284 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1240 ms
2019-10-23 22:57:51.972 [main-121] WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2019-10-23 22:57:51.972 [main-122] INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-10-23 22:57:51.982 [main-281] INFO  com.netflix.config.DynamicPropertyFactory 281 getInstance - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@1b560eb0
2019-10-23 22:57:52.882 [main-121] WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2019-10-23 22:57:52.882 [main-122] INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-10-23 22:57:53.052 [main-171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-23 22:57:53.482 [main-58] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 58 <init> - Exposing 19 endpoint(s) beneath base path '/actuator'
2019-10-23 22:57:53.629 [main-72] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory 72 create - Setting initial instance status as: STARTING
2019-10-23 22:57:53.669 [main-365] INFO  com.netflix.discovery.DiscoveryClient 365 <init> - Initializing Eureka in region us-east-1
2019-10-23 22:57:53.989 [main-70] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 70 <init> - Using JSON encoding codec LegacyJacksonJson
2019-10-23 22:57:53.989 [main-71] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 71 <init> - Using JSON decoding codec LegacyJacksonJson
2019-10-23 22:57:54.109 [main-80] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 80 <init> - Using XML encoding codec XStreamXml
2019-10-23 22:57:54.109 [main-81] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 81 <init> - Using XML decoding codec XStreamXml
2019-10-23 22:57:54.309 [main-43] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2019-10-23 22:57:54.439 [main-976] INFO  com.netflix.discovery.DiscoveryClient 976 fetchRegistry - Disable delta property : false
2019-10-23 22:57:54.439 [main-977] INFO  com.netflix.discovery.DiscoveryClient 977 fetchRegistry - Single vip registry refresh property : null
2019-10-23 22:57:54.449 [main-978] INFO  com.netflix.discovery.DiscoveryClient 978 fetchRegistry - Force full registry fetch : false
2019-10-23 22:57:54.449 [main-979] INFO  com.netflix.discovery.DiscoveryClient 979 fetchRegistry - Application is null : false
2019-10-23 22:57:54.449 [main-980] INFO  com.netflix.discovery.DiscoveryClient 980 fetchRegistry - Registered Applications size is zero : true
2019-10-23 22:57:54.449 [main-982] INFO  com.netflix.discovery.DiscoveryClient 982 fetchRegistry - Application version is -1: true
2019-10-23 22:57:54.449 [main-1065] INFO  com.netflix.discovery.DiscoveryClient 1065 getAndStoreFullRegistry - Getting all instance registry info from the eureka server
2019-10-23 22:57:54.600 [main-1074] INFO  com.netflix.discovery.DiscoveryClient 1074 getAndStoreFullRegistry - The response status is 200
2019-10-23 22:57:54.600 [main-1288] INFO  com.netflix.discovery.DiscoveryClient 1288 initScheduledTasks - Starting heartbeat executor: renew interval is: 30
2019-10-23 22:57:54.610 [main-60] INFO  com.netflix.discovery.InstanceInfoReplicator 60 <init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-10-23 22:57:54.610 [main-465] INFO  com.netflix.discovery.DiscoveryClient 465 <init> - Discovery Client initialized at timestamp 1571842674610 with initial instances count: 1
2019-10-23 22:57:54.610 [main-41] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry 41 register - Registering application HELLO-SERVER with eureka with status UP
2019-10-23 22:57:54.610 [main-1323] INFO  com.netflix.discovery.DiscoveryClient 1323 notify - Saw local status change event StatusChangeEvent [timestamp=1571842674610, current=UP, previous=STARTING]
2019-10-23 22:57:54.610 [DiscoveryClient-InstanceInfoReplicator-0-844] INFO  com.netflix.discovery.DiscoveryClient 844 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881: registering service...
2019-10-23 22:57:54.630 [main-173] INFO  org.apache.coyote.http11.Http11NioProtocol 173 log - Starting ProtocolHandler ["http-nio-8881"]
2019-10-23 22:57:54.650 [DiscoveryClient-InstanceInfoReplicator-0-853] INFO  com.netflix.discovery.DiscoveryClient 853 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881 - registration status: 204
2019-10-23 22:57:54.660 [main-202] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8881 (http) with context path ''
2019-10-23 22:57:54.660 [main-145] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration 145 onApplicationEvent - Updating port to 8881
2019-10-23 22:57:54.840 [main-59] INFO  com.example.HelloApplication 59 logStarted - Started HelloApplication in 5.378 seconds (JVM running for 7.617)
2019-10-23 22:57:55.575 [RMI TCP Connection(2)-192.168.31.232-173] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-10-23 22:57:55.575 [RMI TCP Connection(2)-192.168.31.232-525] INFO  org.springframework.web.servlet.DispatcherServlet 525 initServletBean - Initializing Servlet 'dispatcherServlet'
2019-10-23 22:57:55.585 [RMI TCP Connection(2)-192.168.31.232-547] INFO  org.springframework.web.servlet.DispatcherServlet 547 initServletBean - Completed initialization in 10 ms
2019-10-23 22:58:26.586 [http-nio-8881-exec-1-31] INFO  com.example.web.HelloController 31 index - /hello, host:DESKTOP-BHHBH67, service_id:HELLO-SERVER
2019-10-23 23:02:54.452 [AsyncResolver-bootstrap-executor-0-43] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2019-10-23 23:05:31.546 [Thread-17-65] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry 65 deregister - Unregistering application HELLO-SERVER with eureka with status DOWN
2019-10-23 23:05:31.546 [Thread-17-1321] WARN  com.netflix.discovery.DiscoveryClient 1321 notify - Saw local status change event StatusChangeEvent [timestamp=1571843131546, current=DOWN, previous=UP]
2019-10-23 23:05:31.546 [DiscoveryClient-InstanceInfoReplicator-0-844] INFO  com.netflix.discovery.DiscoveryClient 844 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881: registering service...
2019-10-23 23:05:31.556 [DiscoveryClient-InstanceInfoReplicator-0-853] INFO  com.netflix.discovery.DiscoveryClient 853 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881 - registration status: 204
2019-10-23 23:05:31.566 [Thread-17-208] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 208 shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-23 23:05:31.586 [Thread-17-906] INFO  com.netflix.discovery.DiscoveryClient 906 shutdown - Shutting down DiscoveryClient ...
2019-10-23 23:05:34.596 [Thread-17-940] INFO  com.netflix.discovery.DiscoveryClient 940 unregister - Unregistering ...
2019-10-23 23:05:34.606 [Thread-17-942] INFO  com.netflix.discovery.DiscoveryClient 942 unregister - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881 - deregister  status: 200
2019-10-23 23:05:34.716 [Thread-17-929] INFO  com.netflix.discovery.DiscoveryClient 929 shutdown - Completed shut down of DiscoveryClient
